                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89397,                0.78938,                0.97805,                0.97524,                0.92969,                0.96069,                0.74579,                0.63334,                0.63009,                0.90962,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 0.8336,                0.73205,                0.96076,                0.96396,                 0.9325,                0.95905,                0.69508,                0.67586,                0.65594,                0.91873,             0.00012352,             0.00012352,             0.00012352
                      3,                0.82432,                0.73463,                0.95314,                0.93998,                0.92808,                0.94921,                0.70371,                0.68646,                0.68596,                0.92356,             0.00018422,             0.00018422,             0.00018422
                      4,                0.79877,                0.74205,                0.95326,                0.90611,                0.92243,                0.94625,                0.71985,                0.67267,                0.70136,                0.91995,             0.00023925,             0.00023925,             0.00023925
                      5,                 0.8054,                0.72945,                0.95068,                0.89845,                0.92106,                0.94166,                0.70879,                0.69897,                0.71643,                0.92539,             0.00028864,             0.00028864,             0.00028864
                      6,                0.78052,                0.72384,                0.93897,                0.92191,                0.91044,                0.94455,                0.70266,                0.70953,                0.70309,                0.92381,             0.00033236,             0.00033236,             0.00033236
                      7,                0.73967,                0.68508,                0.92733,                0.95567,                0.92384,                0.95293,                0.71596,                0.66772,                0.66433,                0.90499,             0.00037042,             0.00037042,             0.00037042
                      8,                0.78291,                0.70439,                0.93784,                0.95665,                0.93105,                0.95683,                0.70543,                0.69121,                0.66968,                0.91014,             0.00040282,             0.00040282,             0.00040282
                      9,                0.78209,                0.71291,                0.92781,                0.96091,                0.93403,                0.95634,                0.69065,                0.70728,                0.69698,                0.91825,             0.00042957,             0.00042957,             0.00042957
                     10,                0.76079,                0.69477,                0.92582,                0.95465,                0.93507,                0.95718,                0.73685,                0.64447,                0.65763,                0.90283,             0.00045066,             0.00045066,             0.00045066
                     11,                0.77821,                0.70104,                 0.9242,                0.94666,                0.92039,                0.95944,                0.73475,                0.62661,                0.63643,                0.90242,             0.00046608,             0.00046608,             0.00046608
                     12,                0.73251,                0.67437,                0.92891,                0.95327,                0.92857,                0.95645,                0.72243,                0.68329,                0.64746,                0.92117,             0.00047585,             0.00047585,             0.00047585
                     13,                0.73981,                0.67657,                0.91392,                 0.9551,                 0.9236,                0.95327,                0.71661,                0.71465,                0.65718,                0.92679,             0.00047996,             0.00047996,             0.00047996
                     14,                0.73465,                0.67155,                0.92311,                0.96755,                0.92625,                0.95602,                0.72343,                0.70721,                0.66428,                0.92528,             0.00047841,             0.00047841,             0.00047841
                     15,                0.72836,                0.66642,                0.92102,                0.96946,                0.92281,                0.95482,                0.73086,                0.66577,                0.65386,                 0.9186,              0.0004712,              0.0004712,              0.0004712
                     16,                0.71617,                0.65468,                0.91536,                0.96448,                0.92054,                0.95347,                0.72821,                0.66118,                0.65163,                0.92088,             0.00045834,             0.00045834,             0.00045834
                     17,                0.67885,                0.61863,                0.88864,                0.95906,                0.91943,                0.95085,                0.72716,                0.65658,                0.64615,                 0.9217,             0.00043981,             0.00043981,             0.00043981
                     18,                0.71921,                0.65292,                0.91615,                0.95419,                0.91725,                0.95077,                0.73103,                0.64489,                   0.64,                0.91705,             0.00041563,             0.00041563,             0.00041563
                     19,                0.69219,                0.62977,                0.91455,                0.95067,                0.92107,                0.95253,                0.73511,                0.62955,                0.63308,                0.91054,             0.00038578,             0.00038578,             0.00038578
                     20,                0.70402,                0.64685,                0.91566,                0.95119,                0.93415,                0.95707,                0.73099,                0.64702,                0.64013,                0.91074,             0.00035028,             0.00035028,             0.00035028
                     21,                0.67034,                0.60585,                0.90856,                0.95966,                0.93337,                0.95857,                0.73033,                0.65384,                0.64232,                0.91211,             0.00029723,             0.00029723,             0.00029723
                     22,                0.68272,                0.61306,                0.90125,                0.95412,                0.93513,                0.95922,                0.72799,                0.65841,                0.64072,                0.91422,             0.00029723,             0.00029723,             0.00029723
                     23,                0.72571,                0.64313,                0.90662,                0.95404,                0.93747,                0.95997,                0.72559,                0.67085,                0.63924,                0.91871,             0.00024064,             0.00024064,             0.00024064
                     24,                0.68125,                0.62598,                0.91215,                0.95861,                0.93995,                0.96087,                0.73052,                0.65947,                0.62644,                0.91777,             0.00018406,             0.00018406,             0.00018406
                     25,                0.70979,                0.63745,                0.91755,                0.96116,                0.93993,                0.96084,                0.73281,                0.65015,                0.62193,                0.91498,             0.00012747,             0.00012747,             0.00012747
