                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6092,                  2.416,                 1.8584,                0.05162,                 0.2883,                0.06636,                0.02932,                  2.822,                 4.2455,                 2.1007,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 2.2001,                 1.9116,                 1.6759,                0.47905,                0.09218,                0.06554,                0.02051,                 2.8108,                 3.7833,                 2.2922,             0.00012352,             0.00012352,             0.00012352
                      3,                  1.752,                 1.5898,                  1.508,                0.16861,                0.07427,                0.08595,                0.03976,                 2.7613,                  3.375,                 2.2253,             0.00018422,             0.00018422,             0.00018422
                      4,                 1.4437,                 1.3683,                 1.3193,                0.15053,                0.14383,                0.10735,                0.05441,                 2.4851,                 3.1025,                  2.055,             0.00023925,             0.00023925,             0.00023925
                      5,                 1.2936,                 1.1792,                  1.222,                0.25183,                0.10131,                 0.1611,                0.08916,                 2.0762,                 2.7727,                 1.8428,             0.00028864,             0.00028864,             0.00028864
                      6,                 1.1765,                 1.1143,                 1.1395,                0.33004,                0.10328,                0.21518,                0.12607,                 1.8319,                 2.5126,                 1.6638,             0.00033236,             0.00033236,             0.00033236
                      7,                 1.0762,                 1.0183,                 1.1104,                0.58792,                0.20739,                0.32507,                0.19839,                 1.4541,                 2.0099,                 1.3848,             0.00037042,             0.00037042,             0.00037042
                      8,                0.98029,                0.94517,                 1.0339,                0.78594,                0.29371,                0.44947,                0.25007,                 1.3018,                 1.8098,                 1.2919,             0.00040282,             0.00040282,             0.00040282
                      9,                0.97234,                0.93546,                 1.0288,                0.83196,                0.50894,                0.71307,                0.41381,                 1.2128,                 1.6969,                 1.2406,             0.00042957,             0.00042957,             0.00042957
                     10,                0.92255,                 0.8783,                  1.017,                 0.8651,                0.68087,                0.82603,                0.51219,                 1.0788,                 1.4313,                 1.1387,             0.00045066,             0.00045066,             0.00045066
                     11,                0.89716,                0.83859,                0.98846,                0.87637,                 0.7889,                0.87339,                0.57261,                0.97552,                 1.1989,                 1.0718,             0.00046608,             0.00046608,             0.00046608
                     12,                 0.8922,                0.84101,                 1.0026,                0.92647,                0.81017,                0.91083,                0.61688,                0.92503,                 1.0686,                 1.0427,             0.00047585,             0.00047585,             0.00047585
                     13,                0.88016,                0.82955,                0.97908,                0.93448,                  0.814,                0.92054,                0.63092,                0.86761,                 1.0062,                 1.0167,             0.00047996,             0.00047996,             0.00047996
                     14,                0.85639,                0.80713,                 1.0062,                0.92022,                0.84406,                0.92668,                 0.6536,                0.77044,                0.89303,                0.96865,             0.00047841,             0.00047841,             0.00047841
                     15,                0.84275,                0.80191,                0.98132,                0.91405,                0.88624,                0.93588,                 0.6573,                0.75258,                0.83877,                 0.9551,              0.0004712,              0.0004712,              0.0004712
                     16,                0.81856,                0.76717,                0.96725,                0.93532,                0.88815,                0.93865,                0.65429,                0.76176,                0.80906,                0.95889,             0.00045834,             0.00045834,             0.00045834
                     17,                0.80039,                0.75652,                0.96795,                 0.9352,                0.92136,                0.94507,                0.66264,                0.77785,                0.77263,                0.96707,             0.00043981,             0.00043981,             0.00043981
                     18,                0.77424,                 0.7443,                0.96179,                0.94358,                0.92045,                0.94634,                0.67602,                0.74599,                0.74241,                0.95758,             0.00041563,             0.00041563,             0.00041563
                     19,                0.74302,                0.73774,                0.95649,                0.94803,                0.91776,                0.94631,                0.68501,                0.70072,                0.72176,                 0.9426,             0.00038578,             0.00038578,             0.00038578
                     20,                0.78309,                0.73816,                0.94697,                 0.9444,                0.92699,                0.94525,                0.69886,                0.64739,                0.70465,                0.92368,             0.00035028,             0.00035028,             0.00035028
                     21,                0.76461,                0.74135,                0.96468,                0.94301,                0.92708,                0.94887,                0.70151,                0.63665,                0.69704,                0.91811,             0.00029723,             0.00029723,             0.00029723
                     22,                0.79086,                0.73883,                0.96456,                0.94412,                0.92905,                0.94928,                0.70122,                0.63644,                0.69241,                0.91638,             0.00029723,             0.00029723,             0.00029723
                     23,                0.77558,                0.73708,                0.94858,                0.93885,                 0.9323,                0.94906,                0.70048,                0.64185,                 0.6844,                0.91801,             0.00024064,             0.00024064,             0.00024064
                     24,                0.76435,                0.72491,                0.95622,                0.94209,                0.93301,                0.94972,                0.70179,                0.65205,                0.66631,                0.92158,             0.00018406,             0.00018406,             0.00018406
                     25,                0.74017,                0.71474,                0.94182,                0.94411,                0.93192,                0.94992,                0.69976,                0.65359,                0.65593,                 0.9219,             0.00012747,             0.00012747,             0.00012747
